"","Genus","Species","Variety","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Name"
"407","Phytium","rostratum","","sexual/asexual","oospore",NA,NA,NA,NA,NA,NA,NA,NA,"um",NA,"Phytium rostratum "
"408","Phytium","sylvaticum","","sexual/asexual","oospore",9,10,24,30,9,10,24,30,"um",226.980069221863,"Phytium sylvaticum "
"409","Phytium","torulosum","","sexual/asexual","oospore",NA,11,15,NA,NA,11,15,NA,"um",132.732289614169,"Phytium torulosum "
"410","Phytium","ultimum","ultimum","sexual/asexual","oospore",NA,15,18,NA,NA,15,18,NA,"um",213.824649984955,"Phytium ultimum ultimum"
"411","Phytophtora","cactorum","","sexual/asexual","chlamydospores",NA,19,33,55,NA,19,33,55,"um",530.929158456675,"Phytophtora cactorum "
"412","Phytophtora","cactorum","","sexual/asexual","oospore",NA,20,26,NA,NA,20,26,NA,"um",415.47562843725,"Phytophtora cactorum "
"413","Phytophtora","cinnamomi","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Phytophtora cinnamomi "
"414","Plectosphaerella","cucumerina","","sexual","ascospores",NA,10.8,12,NA,NA,2.8,3,NA,"um",25.9652632819196,"Plectosphaerella cucumerina "
"415","Plectosphaerella","cucumerina","","asexual","conidia",NA,8.2,13.5,NA,NA,2.2,3,NA,"um",22.156082189442,"Plectosphaerella cucumerina "
"416","Pleospora","herbarum","","asexual","conidia",20,24,38,NA,12,15,26,NA,"um",499.120532839078,"Pleospora herbarum "
"417","Pleurostomophora","richardsiae","","asexual","conidia",NA,8,16,NA,NA,1.5,3,NA,"um",21.2057504117311,"Pleurostomophora richardsiae "
"418","Pochonia","chlamydosporia","catenulata","asexual","conidia",NA,2.9,3.3,NA,NA,1.9,2.2,NA,"um",4.99120532839078,"Pochonia chlamydosporia catenulata"
"419","Pochonia","chlamydosporia","chlamydospria","asexual","conidia",NA,3,4,NA,NA,1.5,2,NA,"um",4.81056375080937,"Pochonia chlamydosporia chlamydospria"
"420","Preussia","aemulans","","sexual","ascospores",NA,28,35,NA,NA,5,7,NA,"um",148.440252882118,"Preussia aemulans "
"421","Preussia","aemulans","","asexual","conidia",NA,2.5,3,NA,NA,1.5,2,NA,"um",3.77972866135022,"Preussia aemulans "
"422","Preussia","fleischhakii","","sexual","ascospores",NA,26,35,NA,NA,5.5,7.5,NA,"um",155.705185893544,"Preussia fleischhakii "
"423","Preussia","fleischhakii","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Preussia fleischhakii "
"424","Preussia","funiculata","","sexual","ascospores",24,28,32,38,5,6,7,7.5,"um",153.152641862502,"Preussia funiculata "
"425","Preussia","funiculata","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Preussia funiculata "
"426","Pseudallescheria","boydii","","sexual","ascospores",NA,6,7,NA,NA,3,3.8,NA,"um",17.3572994110836,"Pseudallescheria boydii "
"427","Pseudallescheria","boydii","","asexual","conidia",NA,6,14,NA,NA,3.5,6,NA,"um",37.3064127613788,"Pseudallescheria boydii "
"428","Pseudeurotium","ovale","","sexual","ascospores",NA,5.5,6,NA,NA,3.5,4,NA,"um",16.9351478982575,"Pseudeurotium ovale "
"429","Pseudeurotium","ovale","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Pseudeurotium ovale "
"430","Pseudeurotium","zonatum","","sexual","ascospores",NA,3,4.5,NA,NA,3,4.5,NA,"um",11.0446616727766,"Pseudeurotium zonatum "
"431","Pseudeurotium","zonatum","","asexual","conidia",NA,4,6,NA,NA,2.5,3.5,4.5,"um",11.7809724509617,"Pseudeurotium zonatum "
"432","Pseudobotrytis","terrestris","","asexual","conidia",NA,6.5,9,NA,NA,2.8,3.5,NA,"um",19.1735326639402,"Pseudobotrytis terrestris "
"433","Pseudogymnoascus","roseus","","sexual","ascospores",NA,3,4,NA,NA,2,2.5,NA,"um",6.18501053675491,"Pseudogymnoascus roseus "
"434","Pseudogymnoascus","roseus","","asexual","conidia",NA,2,4.5,NA,NA,1.5,2.5,NA,"um",5.10508806208341,"Pseudogymnoascus roseus "
